id,sample,target,action,response,action_text,exclude
ggu6otun3unxppr3sv929rcc,WJ,PJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,2,1,refuse to accept honours or awards in protest,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,3,1,attend or organise a protest rally,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,4,1,attend or organise a protest march,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,5,1,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,6,1,donate to political parties who oppose the bill,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,7,0,enter and refuse to leave a building (occupation),FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,8,1,refuse to work (strike),FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,9,0,deface flags or other national symbols,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,10,1,join or form a group of activists who oppose the bill,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,12,1,hold meetings to inform the public,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,14,1,donate to activist groups who oppose the bill,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,15,0,mock or insult individuals who support the bill,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,20,1,make a public speech,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,21,0,spray paint political messages in public places,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,22,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,23,1,hold meetings to influence the public,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,24,1,refuse to cooperate with the police and other government agencies,FALSE
ggu6otun3unxppr3sv929rcc,WJ,PJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,2,1,refuse to accept honours or awards in protest,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,3,1,attend or organise a protest rally,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,4,1,attend or organise a protest march,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,6,1,donate to political parties who oppose the bill,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,7,0,enter and refuse to leave a building (occupation),FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,8,1,refuse to work (strike),FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,9,0,deface flags or other national symbols,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,10,1,join or form a group of activists who oppose the bill,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,12,1,hold meetings to inform the public,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
